code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_29_min,score_visiteur_29_min,temps_proche_30_min,score_recevant_30_min,score_visiteur_30_min,equipe,statut_29_min,statut_30_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison
SAEDKMV,HAVRE ATHLETIC CLUB HB,PELLAN stephane,STELLA SAINT-MAUR HANDBALL,SAMSON remi,J14,20,21,rencontre_D2F_1_2223_443.pdf,9,11,1753,10,11,R,-1,-1,-1,0,0,0,F,0,0,D2,2223
SAEDKMZ,ACHENHEIM TRUCHTERSHEIM,BASNY jan,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J14,26,32,rencontre_D2F_1_2223_447.pdf,16,15,1778,16,16,R,1,0,-1,0,0,0,F,0,0,D2,2223
SAEDKNG,SAMBRE AVESNOIS HANDBALL,PETIT clement,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J15,29,26,rencontre_D2F_1_2223_454.pdf,15,12,1791,15,14,R,1,1,1,1,0,0,F,0,0,D2,2223
SAEDKNI,HAVRE ATHLETIC CLUB HB,PELLAN stephane,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,J16,27,24,rencontre_D2F_1_2223_456.pdf,15,14,1794,16,14,R,1,1,1,1,0,0,F,0,0,D2,2223
SAEDKNJ,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,ASUL VAULX EN VELIN,MODENEL sebastien,J16,26,22,rencontre_D2F_1_2223_457.pdf,16,13,1790,16,13,R,1,1,1,1,0,0,F,0,0,D2,2223
SAEDKNM,NOISY LE GRAND HANDBALL,GHERRAM farid,SAMBRE AVESNOIS HANDBALL,PETIT clement,J16,28,27,rencontre_D2F_1_2223_460.pdf,13,14,1745,13,14,R,-1,-1,1,0,1,0,F,0,0,D2,2223
SAEDKNN,ACHENHEIM TRUCHTERSHEIM,BASNY jan,STELLA SAINT-MAUR HANDBALL,SAMSON remi,J16,28,25,rencontre_D2F_1_2223_461.pdf,13,15,1733,13,15,R,-1,-1,1,0,0,0,F,0,0,D2,2223
SAEDKNO,TOULOUSE FEMININ HANDBALL,VEDEL fabien,PALENTE BESANCON HANDBALL,SECK cheikh,J16,30,28,rencontre_D2F_1_2223_462.pdf,13,14,1791,14,15,R,-1,-1,1,0,0,0,F,0,0,D2,2223
SAEDKNQ,HAVRE ATHLETIC CLUB HB,PELLAN stephane,NOISY LE GRAND HANDBALL,GHERRAM farid,J17,29,31,rencontre_D2F_1_2223_464.pdf,13,14,1757,14,14,R,-1,0,-1,1,0,0,F,0,0,D2,2223
SAEDKNT,PALENTE BESANCON HANDBALL,SECK cheikh,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J17,24,24,rencontre_D2F_1_2223_467.pdf,8,8,1798,9,8,R,0,1,0,1,0,0,F,0,0,D2,2223
SAEDKNU,STELLA SAINT-MAUR HANDBALL,SAMSON remi,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J17,32,33,rencontre_D2F_1_2223_468.pdf,15,17,1785,15,18,R,-1,-1,-1,0,0,0,F,0,0,D2,2223
SAEDKNY,LOMME LILLE METROPOLE HB,WORM laurent,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J18,26,33,rencontre_D2F_1_2223_472.pdf,17,15,1790,17,15,R,1,1,-1,1,0,1,F,1,0,D2,2223
SAEDKOB,SAMBRE AVESNOIS HANDBALL,PETIT clement,STELLA SAINT-MAUR HANDBALL,SAMSON remi,J18,24,25,rencontre_D2F_1_2223_475.pdf,10,12,1751,10,12,R,-1,-1,-1,0,0,0,F,0,0,D2,2223
SAEDKOC,HANDBALL CLERMONT AUVERGNE METROPOLE 63,SAUVAL florence,PALENTE BESANCON HANDBALL,SECK cheikh,J18,36,34,rencontre_D2F_1_2223_476.pdf,18,16,1791,19,16,R,1,1,1,1,0,0,F,0,0,D2,2223
SAEDKOD,ASUL VAULX EN VELIN,MODENEL sebastien,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J19,27,27,rencontre_D2F_1_2223_477.pdf,13,12,1687,13,12,R,1,1,0,1,0,0,F,0,0,D2,2223
SAEDKOE,HAVRE ATHLETIC CLUB HB,PELLAN stephane,TOULOUSE FEMININ HANDBALL,PUIGSEGUR laurent,J19,23,25,rencontre_D2F_1_2223_478.pdf,11,12,1771,12,13,R,-1,-1,-1,0,0,0,F,0,0,D2,2223
SAEDKOF,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J19,24,25,rencontre_D2F_1_2223_479.pdf,13,12,1774,14,12,R,1,1,-1,1,0,0,F,0,0,D2,2223
