club;division;saison;HF;match_joue;total_point;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;J14;J15;J16;J17;J18;J19;J20;J21;J22;J23;J24;J25;J26
HARNES H.B.C.;N1;2223;F;24;51;3;2;1;3;3;1;3;1;1;3;NA;3;1;3;1;2;3;3;1;2;3;1;3;NA;3;1
HB FEMININ MONTPELLIER;N1;2223;F;22;43;3;1;3;1;1;3;3;3;NA;NA;1;3;1;1;1;3;1;1;2;3;3;NA;NA;1;1;3
HB OCTEVILLE SUR MER;N1;2223;F;24;66;NA;1;3;3;1;3;3;3;3;3;3;3;3;NA;1;3;3;3;3;3;3;3;3;3;3;3
HBC ECHIROLLES-EYBENS;N1;2223;F;22;30;1;1;1;3;1;NA;NA;1;1;1;1;1;2;1;1;1;3;1;NA;NA;1;1;1;2;1;3
HBC THANN/STEINBACH;N1;2223;F;24;39;1;NA;3;1;3;1;1;1;3;1;1;1;2;1;NA;3;1;3;1;3;1;1;1;1;1;3
JDA DIJON HANDBALL;N1;2223;F;24;68;NA;3;3;3;1;3;3;3;3;3;3;3;3;NA;3;3;3;1;3;3;3;3;3;3;3;3
LA MOTTE SERVOLEX HB;N1;2223;F;22;59;3;3;NA;3;3;3;3;3;3;3;NA;1;2;3;3;NA;3;3;1;3;3;3;3;NA;1;3
LA ROCHE SUR YON VENDEE HB;N1;2223;F;24;48;3;3;1;1;1;3;1;2;NA;1;3;1;1;1;3;3;1;1;3;3;1;NA;3;3;3;2
LE POUZIN HB;N1;2223;F;22;61;3;3;3;NA;3;1;3;3;3;3;3;3;NA;3;3;3;NA;3;2;3;3;3;1;3;3;NA
LES NEPTUNES DE NANTES;N1;2223;F;24;51;3;3;3;3;3;3;2;1;NA;1;3;1;3;3;1;3;3;1;1;3;1;NA;1;3;1;1
MAZAN;N1;2223;F;22;37;1;NA;1;1;NA;1;1;2;1;3;3;1;2;1;NA;3;1;NA;2;1;3;3;1;1;3;1
MERIGNAC HANDBALL;N1;2223;F;24;47;1;3;1;1;3;3;NA;2;1;1;3;2;1;1;3;1;1;3;1;NA;3;2;3;1;3;3
METZ HANDBALL;N1;2223;F;24;68;3;3;3;3;3;3;1;3;3;3;3;3;NA;3;3;3;3;3;3;1;3;3;3;3;3;NA
MONCOUTANT SAM;N1;2223;F;24;41;3;1;3;1;1;2;2;3;1;NA;1;1;3;1;1;1;3;1;2;1;1;3;NA;1;1;3
MONTIGNY LES METZ;N1;2223;F;24;26;1;1;3;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1
OGC NICE COTE D'AZUR HANDBALL;N1;2223;F;22;45;NA;3;1;1;3;3;NA;1;1;1;1;1;2;NA;3;1;3;3;3;NA;3;1;3;3;3;1
REIMS CHAMPAGNE HANDBALL;N1;2223;F;24;53;3;3;1;2;NA;2;1;3;1;3;3;1;3;3;3;1;1;NA;3;1;3;1;3;2;3;3
RENNES METROPOLE HB;N1;2223;F;24;28;1;1;1;1;1;1;1;3;1;NA;1;1;1;1;1;1;1;1;1;3;1;1;NA;1;1;1
