"","code_rencontre","club_recevant","coach_recevant","club_visiteur","coach_visiteur","score_final_r","score_final_v","fichier","journee","score_recevant_59_min","score_visiteur_59_min","equipe","statut_59_min","statut_final","effet_positif","TM_derniere_min","TM_derniere_min_adverse","HF","DM","DM_adverse","division","saison","club_ref","club_opp","points_recevant","points_visiteur","diff_point","diff_point_norm"
"63","SAEDKLU","LOMME LILLE METROPOLE HB","WORM laurent","TOULOUSE FEMININ HANDBALL","VEDEL fabien",31,29,"rencontre_D2F_1_2223_416.pdf","J10",31,28,"R",1,1,1,1,0,"F",1,0,"D2",2223,"lomme lille metropole hb","toulouse feminin handball",14,15,-1,-0.00229857534633126
"64","SAEDKMA","HAVRE ATHLETIC CLUB HB","PELLAN stephane","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine",29,28,"rencontre_D2F_1_2223_422.pdf","J11",28,27,"R",1,1,1,1,0,"F",0,0,"D2",2223,"havre athletic club hb","bouillargues handball nimes metropole",17,19,-2,-0.121824493355556
"65","SAEDKMJ","PALENTE BESANCON HANDBALL","SECK cheikh","ASUL VAULX EN VELIN","MODENEL sebastien",24,26,"rencontre_D2F_1_2223_431.pdf","J12",24,24,"R",0,-1,0,1,0,"F",0,0,"D2",2223,"palente besancon handball","asul vaulx en velin",16,15,1,0.236753260672119
"66","SAEDKML","SAMBRE AVESNOIS HANDBALL","PETIT clement","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier",27,31,"rencontre_D2F_1_2223_433.pdf","J12",27,30,"R",-1,-1,0,1,0,"F",1,0,"D2",2223,"sambre avesnois handball","saint gregoire rennes metropole hb",22,14,8,1.07343468673669
"67","SAEDKMS","ACHENHEIM TRUCHTERSHEIM","BASNY jan","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine",22,20,"rencontre_D2F_1_2223_440.pdf","J13",21,19,"R",1,1,1,1,0,"F",1,1,"D2",2223,"achenheim truchtersheim","bouillargues handball nimes metropole",29,23,6,0.834382850718245
"68","SAEDKMU","ASUL VAULX EN VELIN","MODENEL sebastien","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien",34,36,"rencontre_D2F_1_2223_442.pdf","J14",34,36,"R",-1,-1,0,0,0,"F",1,0,"D2",2223,"asul vaulx en velin","club athletique beglais",19,22,-3,-0.241350411364781
"69","SAEDKMV","HAVRE ATHLETIC CLUB HB","PELLAN stephane","STELLA SAINT-MAUR HANDBALL","SAMSON remi",20,21,"rencontre_D2F_1_2223_443.pdf","J14",19,20,"R",-1,-1,0,0,0,"F",0,0,"D2",2223,"havre athletic club hb","stella saint-maur handball",22,36,-14,-1.55613550946626
"70","SAEDKNA","TOULOUSE FEMININ HANDBALL","VEDEL fabien","SAMBRE AVESNOIS HANDBALL","PETIT clement",23,27,"rencontre_D2F_1_2223_448.pdf","J14",23,25,"R",-1,-1,0,0,1,"F",0,0,"D2",2223,"toulouse feminin handball","sambre avesnois handball",19,26,-7,-0.719454083401682
"71","SAEDKNE","PALENTE BESANCON HANDBALL","SECK cheikh","HAVRE ATHLETIC CLUB HB","PELLAN stephane",26,27,"rencontre_D2F_1_2223_452.pdf","J15",26,27,"R",-1,-1,0,0,1,"F",0,0,"D2",2223,"palente besancon handball","havre athletic club hb",19,23,-4,-0.360876329374007
"72","SAEDKNG","SAMBRE AVESNOIS HANDBALL","PETIT clement","ACHENHEIM TRUCHTERSHEIM","BASNY jan",29,26,"rencontre_D2F_1_2223_454.pdf","J15",28,26,"R",1,1,1,0,0,"F",0,0,"D2",2223,"sambre avesnois handball","achenheim truchtersheim",29,33,-4,-0.360876329374007
