"code_rencontre","club_recevant","coach_recevant","club_visiteur","coach_visiteur","score_final_r","score_final_v","fichier","score_recevant_59_min","score_visiteur_59_min","equipe","statut_59_min","statut_final","effet_positif","TM_derniere_min","TM_derniere_min_adverse","HF","DM","DM_adverse","division","saison","club_ref","club_opp","points_classement","points_opp","diff_classement"
"SAECVFP","TOULON METROPOLE VAR HANDBALL","PLANTIN stephane","HANDBALL PLAN DE CUQUES","SPINCER angelique",24,20,"rencontre_D1F_2223_3142.pdf",22,20,"R",1,1,1,0,0,"F",0,0,"D1","2223","le pouzin hb 07","provence aix universite club handball",NA,NA,NA
"SAECVFR","METZ HANDBALL","MAYONNADE emmanuel","CHAMBRAY TOURAINE HANDBALL","LANFRANCHI mathieu",30,26,"rencontre_D1F_2223_3144 2.pdf",28,25,"R",1,1,1,1,1,"F",0,0,"D1","2223","limoges hand 87","st amand handball -  porte du hainaut",NA,34,NA
"SAECVFR","METZ HANDBALL","MAYONNADE emmanuel","CHAMBRAY TOURAINE HANDBALL","LANFRANCHI mathieu",30,26,"rencontre_D1F_2223_3144.pdf",28,25,"R",1,1,1,1,1,"F",0,0,"D1","2223","limoges hand 87","st amand handball -  porte du hainaut",NA,34,NA
"SAEDKJH","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine","NOISY LE GRAND HANDBALL","GHERRAM farid",20,21,"rencontre_D2F_1_2223_351 2.pdf",20,21,"R",-1,-1,0,1,0,"F",0,0,"D2","2223","bouillargues handball nimes metropole","noisy le grand handball",45,55,10
"SAEDKJH","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine","NOISY LE GRAND HANDBALL","GHERRAM farid",20,21,"rencontre_D2F_1_2223_351.pdf",20,21,"R",-1,-1,0,1,0,"F",0,0,"D2","2223","bouillargues handball nimes metropole","noisy le grand handball",45,55,10
"SAEDKJJ","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien","ASUL VAULX EN VELIN","MODENEL sebastien",30,27,"rencontre_D2F_1_2223_353 2.pdf",29,26,"R",1,1,1,0,0,"F",0,0,"D2","2223","limoges hand 87","provence aix universite club handball",NA,NA,NA
"SAEDKJJ","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien","ASUL VAULX EN VELIN","MODENEL sebastien",30,27,"rencontre_D2F_1_2223_353.pdf",29,26,"R",1,1,1,0,0,"F",0,0,"D2","2223","limoges hand 87","provence aix universite club handball",NA,NA,NA
"SAEDKJQ","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien",28,30,"rencontre_D2F_1_2223_360 2.pdf",28,29,"R",-1,-1,0,0,0,"F",0,0,"D2","2223","saint gregoire rennes metropole hb","limoges hand 87",38,NA,NA
"SAEDKJQ","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien",28,30,"rencontre_D2F_1_2223_360.pdf",28,29,"R",-1,-1,0,0,0,"F",0,0,"D2","2223","saint gregoire rennes metropole hb","limoges hand 87",38,NA,NA
"SAEDKJS","NOISY LE GRAND HANDBALL","GHERRAM farid","HANDBALL CLERMONT AUVERGNE METROPOLE","SAUVAL florence",27,29,"rencontre_D2F_1_2223_362 2.pdf",27,29,"R",-1,-1,0,0,1,"F",0,0,"D2","2223","noisy le grand handball","handball clermont auvergne metropole 63",55,53,-2
"SAEDKJS","NOISY LE GRAND HANDBALL","GHERRAM farid","HANDBALL CLERMONT AUVERGNE METROPOLE","SAUVAL florence",27,29,"rencontre_D2F_1_2223_362.pdf",27,29,"R",-1,-1,0,0,1,"F",0,0,"D2","2223","noisy le grand handball","handball clermont auvergne metropole 63",55,53,-2
"SAEDKJT","ACHENHEIM TRUCHTERSHEIM","BASNY jan","SAMBRE AVESNOIS HANDBALL","PETIT clement",29,28,"rencontre_D2F_1_2223_363 2.pdf",28,28,"R",0,1,1,0,0,"F",0,0,"D2","2223","achenheim truchtersheim","paris 92",63,NA,NA
"SAEDKJT","ACHENHEIM TRUCHTERSHEIM","BASNY jan","SAMBRE AVESNOIS HANDBALL","PETIT clement",29,28,"rencontre_D2F_1_2223_363.pdf",28,28,"R",0,1,1,0,0,"F",0,0,"D2","2223","achenheim truchtersheim","paris 92",63,NA,NA
"SAEDKJX","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien","HAVRE ATHLETIC CLUB HB","PELLAN stephane",23,24,"rencontre_D2F_1_2223_367 2.pdf",23,23,"R",0,-1,0,1,1,"F",0,0,"D2","2223","limoges hand 87","le pouzin hb 07",NA,NA,NA
"SAEDKJX","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien","HAVRE ATHLETIC CLUB HB","PELLAN stephane",23,24,"rencontre_D2F_1_2223_367.pdf",23,23,"R",0,-1,0,1,1,"F",0,0,"D2","2223","limoges hand 87","le pouzin hb 07",NA,NA,NA
"SAEDKKB","HANDBALL CLERMONT AUVERGNE METROPOLE 63","SAUVAL florence","LOMME LILLE METROPOLE HB","WORM laurent",31,29,"rencontre_D2F_1_2223_371 2.pdf",31,28,"R",1,1,1,0,0,"F",1,0,"D2","2223","le pouzin hb 07","js cherbourgeoise  manche hb",NA,NA,NA
"SAEDKKB","HANDBALL CLERMONT AUVERGNE METROPOLE 63","SAUVAL florence","LOMME LILLE METROPOLE HB","WORM laurent",31,29,"rencontre_D2F_1_2223_371.pdf",31,28,"R",1,1,1,0,0,"F",1,0,"D2","2223","le pouzin hb 07","js cherbourgeoise  manche hb",NA,NA,NA
"SAEDKKC","HAVRE ATHLETIC CLUB HB","PELLAN stephane","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier",22,23,"rencontre_D2F_1_2223_372 2.pdf",20,23,"R",-1,-1,0,1,1,"F",0,1,"D2","2223","le pouzin hb 07","saint gregoire rennes metropole hb",NA,38,NA
"SAEDKKC","HAVRE ATHLETIC CLUB HB","PELLAN stephane","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier",22,23,"rencontre_D2F_1_2223_372.pdf",20,23,"R",-1,-1,0,1,1,"F",0,1,"D2","2223","le pouzin hb 07","saint gregoire rennes metropole hb",NA,38,NA
"SAEDKKF","LOMME LILLE METROPOLE HB","WORM laurent","SAMBRE AVESNOIS HANDBALL","PETIT clement",27,29,"rencontre_D2F_1_2223_375 2.pdf",27,29,"R",-1,-1,0,1,1,"F",0,0,"D2","2223","js cherbourgeoise  manche hb","paris 92",NA,NA,NA
"SAEDKKF","LOMME LILLE METROPOLE HB","WORM laurent","SAMBRE AVESNOIS HANDBALL","PETIT clement",27,29,"rencontre_D2F_1_2223_375.pdf",27,29,"R",-1,-1,0,1,1,"F",0,0,"D2","2223","js cherbourgeoise  manche hb","paris 92",NA,NA,NA
"SAEDKKI","TOULOUSE FEMININ HANDBALL","SEUTCHIE ludovic","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien",27,29,"rencontre_D2F_1_2223_378 2.pdf",25,28,"R",-1,-1,0,0,1,"F",0,0,"D2","2223","toulouse feminin handball","limoges hand 87",44,NA,NA
"SAEDKKI","TOULOUSE FEMININ HANDBALL","SEUTCHIE ludovic","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien",27,29,"rencontre_D2F_1_2223_378.pdf",25,28,"R",-1,-1,0,0,1,"F",0,0,"D2","2223","toulouse feminin handball","limoges hand 87",44,NA,NA
"SAEDKKJ","ASUL VAULX EN VELIN","MODENEL sebastien","HAVRE ATHLETIC CLUB HB","PELLAN stephane",29,27,"rencontre_D2F_1_2223_379 2.pdf",28,26,"R",1,1,1,0,0,"F",0,0,"D2","2223","provence aix universite club handball","le pouzin hb 07",NA,NA,NA
